codigo eusan;nombre cliente;nombre del producto;nombre del estante;codigo de barras
6-26-0-7961; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 99% 1.8 K  COD 3.3100186;;28894
6-26-0-7962; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 99% 4 K COD 3.3100214;;28897
6-26-0-7983; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 99.5 % 4 K COD 3.3100403;;28961
6-26-0-8010; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 91% 1.8 K COD 3.3100155;;29195
6-26-0-8011; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 91% 3 K  COD 3.3100160;;29196
6-26-0-8009; EL PELON DE LA BAJURA;BOBINA ARROZ TIO PELON 80 % 1.8 K COD 3.3100128;;29199
4-1-0-5257;3101782472 SOCIEDAD ANONIMA;Bolsa Sustrato Especial para OrquÃ­deas (Sin Enyugar);;17563
4-1-0-5909;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA YUCA TROZOS TIERRA BUENA 2 LBS;;20478
4-1-0-5908;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA PALITOS DE YUCA TIERRA BUENA 2 LBS;;20479
4-1-0-5906;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA SANCOCHO TIERRA NUEVA 2 LBS;;20480
4-1-0-5904;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA MASA DE YUCA TIERRA BUENA 5 LBS;;20481
4-1-0-5907;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA PLATANO MADURO TIERRA BUENA 2 LBS;;20482
4-1-0-5905;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA  CANASTA DE PLATANO VERDE TIERRA BUENA 2 LBS;;20483
4-1-0-5911;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA YUCA TROZO TIERRA BUENA 5 LBS;;20484
4-1-0-5910;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA TROPICAL MIXED STICKS TIERRA BUENA 2 LBS;;20491
4-1-0-6106;A Y Z TIERRA BUENA SOCIEDAD ANONIMA;BOLSA YUCA TROZO TIERRA BUENA 5 LBS;;21399
2-2-0-4397;ABBOTT MEDICAL COSTA RICA LIMITADA;Bolsa con Zipper Pigmentada Blanca;;13701
1-2-0-7113;ACO CORPORATION, S.A.;BOBINA LAMINA BLANCA 30 PLG 7.00 MILS/C;;25963
1-1-0-6372;ACTIVA OUTSOURCING S.A.;BOLSA TRANSPARENTE 27x47CM -PERFORADA;;22726
6-30-0-3931;ADVANCE PACKING S.A;PLATANUTRES 1OZ - MI COSECHA;;15138
6-30-0-4736;ADVANCE PACKING S.A;MIXTOS SANCOCHIPS 1OZ - MI COSECHA;;15153
6-30-0-4737;ADVANCE PACKING S.A;MIXTOS SANCOCHIPS 5OZ - MI COSECHA;;15154
6-30-0-4738;ADVANCE PACKING S.A;PLATANUTRES 2OZ - MI COSECHA;;15161
6-30-0-4739;ADVANCE PACKING S.A;MALANGA 2OZ - MI COSECHA;;15162
6-30-0-3932;ADVANCE PACKING S.A;YUQUITAS 1OZ - MI COSECHA;;16779
6-30-0-3930;ADVANCE PACKING S.A;MALANGA 1OZ - MI COSECHA;;16780
6-30-0-5134;ADVANCE PACKING S.A;MALANGA 5OZ - MI COSECHA;;16795
6-30-0-5133;ADVANCE PACKING S.A;YUQUITAS 2OZ - MI COSECHA;;16796
6-30-0-5135;ADVANCE PACKING S.A;CHIPS DE PANA 5OZ - MI COSECHA;;16797
6-30-0-5557;ADVANCE PACKING S.A;MIXTOS SANCOCHIPS 1OZ - MI COSECHA;;18902
6-30-0-5558;ADVANCE PACKING S.A;MIXTOS SANCOCHIPS 2OZ - MI COSECHA;;18920
6-30-0-5563;ADVANCE PACKING S.A;PLANTAIN CHIPS 2OZ - FARMERÂ´S OWN;;18921
6-30-0-5562;ADVANCE PACKING S.A;CASSAVA CHIPS 2OZ - FARMERÂ´S OWN;;18922
6-30-0-5561;ADVANCE PACKING S.A;PLANTAIN SCOOPS 5OZ - FARMERÂ´S OWN;;18923
6-30-0-5559;ADVANCE PACKING S.A;PLATANUTRES 1OZ - MI COSECHA;;18924
6-30-0-5560;ADVANCE PACKING S.A;YUQUITAS 5OZ - MI COSECHA;;18926
6-30-0-5753;ADVANCE PACKING S.A;MALANGA 5OZ - MI COSECHA;;19812
6-30-0-5752;ADVANCE PACKING S.A;MALANGA 2OZ - MI COSECHA;;19813
6-30-0-7444;ADVANCE PACKING S.A;PLATANUTRES 1OZ - MI COSECHA;;27159
2-2-0-4788;AGROANAMAR MH S.A.;BOLSA NEGRA LINER SILO;;15280
